date,close_p10,close_p50,close_p90,volume_p50,volume_p90,volume_sum
2015-01-02 00:00:00+00:00,0.0,27.855,115.23400000000001,46400.0,464075.5000000001,193823834.45526555
2015-01-03 00:00:00+00:00,0.0,28.105,115.23400000000001,71465.0,650033.2000000002,268140397.29985338
2015-01-04 00:00:00+00:00,0.0,28.105,115.23400000000001,71465.0,650033.2000000002,268140397.29985338
2015-01-05 00:00:00+00:00,0.0,27.11,113.36900000000004,62362.0,685631.7000000004,316238728.7287235
2015-01-06 00:00:00+00:00,0.0,27.0,112.47275000000003,71377.0,869705.8000000002,396097587.6972145
2015-01-07 00:00:00+00:00,0.0,27.2325,113.79900000000002,61741.0,803429.2000000002,337950883.8340879
2015-01-08 00:00:00+00:00,0.0,27.915,116.402,67311.0,793053.7000000002,327929662.0740665
2015-01-09 00:00:00+00:00,0.0,27.86,116.20180000000003,57665.0,711150.0000000001,314736661.7167
2015-01-10 00:00:00+00:00,0.0,27.825000000000003,116.24000000000004,83089.0,859647.8,358128659.26176584
2015-01-11 00:00:00+00:00,0.0,27.825000000000003,116.24000000000004,83089.0,859647.8,358128659.26176584
2015-01-12 00:00:00+00:00,0.0,27.40665,118.01400000000007,58470.0,697020.0000000001,303275165.81359017
2015-01-13 00:00:00+00:00,0.0,27.49665,117.14200000000002,73926.5,894280.3000000006,388082041.2425454
2015-01-14 00:00:00+00:00,0.0,27.0,114.85300000000001,62913.0,859272.2000000003,390011667.01436305
2015-01-15 00:00:00+00:00,0.0,26.86,114.37900000000002,59705.5,784304.5,356799602.6304436
2015-01-16 00:00:00+00:00,0.0,26.895000000000003,114.52,59531.0,768515.4,331803896.67754287
2015-01-17 00:00:00+00:00,0.0,27.0825,114.12300000000002,104561.0,1105284.5,496794007.7397441
2015-01-18 00:00:00+00:00,0.0,27.0825,114.12300000000002,104561.0,1105284.5,496794007.7397441
2015-01-19 00:00:00+00:00,0.0,27.0825,114.12300000000002,104561.0,1105284.5,496794007.7397441
2015-01-20 00:00:00+00:00,0.0,27.09,113.32650000000002,67276.0,795510.5000000002,335035599.6755899
2015-01-21 00:00:00+00:00,0.0,27.43875,112.61000000000004,57830.0,720161.9000000001,300509127.4509308
2015-01-22 00:00:00+00:00,0.0,27.564999999999998,113.10201000000004,59117.5,869814.9000000006,410292611.3574629
2015-01-23 00:00:00+00:00,0.0,27.54625,112.3605,54572.5,693930.8,283236757.3488667
2015-01-24 00:00:00+00:00,0.0,27.4925,111.70200000000001,81684.5,845183.3000000002,364028197.58269435
2015-01-25 00:00:00+00:00,0.0,27.4925,111.70200000000001,81684.5,845183.3000000002,364028197.58269435
2015-01-26 00:00:00+00:00,0.0,27.869999999999997,111.55000000000001,54789.0,708076.5,285981345.79797983
2015-01-27 00:00:00+00:00,0.0,27.91625,111.55100000000002,56850.5,647179.5000000003,303325654.62739134
2015-01-28 00:00:00+00:00,0.0,27.845,112.07701000000002,70478.0,836665.8000000002,421707080.93667245
2015-01-29 00:00:00+00:00,0.0,27.83,110.46800000000002,65120.0,896179.0000000002,413227711.9364864
2015-01-30 00:00:00+00:00,0.0,27.939999999999998,110.71200000000002,63640.0,863474.6000000002,478349838.4161024
2015-01-31 00:00:00+00:00,0.0,27.94,110.296,108031.0,1264086.1,587659401.0589266
2015-02-01 00:00:00+00:00,0.0,27.94,110.296,108031.0,1264086.1,587659401.0589266
2015-02-02 00:00:00+00:00,0.0,27.835,111.57299,65967.5,799198.6000000001,355425079.9450794
2015-02-03 00:00:00+00:00,0.0,28.105,112.33700000000003,72502.5,896634.3,361349845.1613597
2015-02-04 00:00:00+00:00,0.0,28.56,111.75600000000003,64914.5,801709.7000000001,336621321.8324541
2015-02-05 00:00:00+00:00,0.0,28.6304,112.52000000000001,61414.0,705705.0000000001,327332051.31725824
2015-02-06 00:00:00+00:00,0.0,28.7,112.12800000000001,63053.0,792832.3,370667867.6486274
2015-02-07 00:00:00+00:00,0.0,28.725,112.658,89060.5,934083.3000000002,393795577.2229901
2015-02-08 00:00:00+00:00,0.0,28.725,112.658,89060.5,934083.3000000002,393795577.2229901
2015-02-09 00:00:00+00:00,0.0,28.79835,111.84092000000001,57305.5,694484.1000000009,292526936.37733704
2015-02-10 00:00:00+00:00,0.0,29.11875,112.9678,55881.0,705082.5000000001,319240796.7327948
2015-02-11 00:00:00+00:00,0.0,28.8975,113.555,53157.0,664826.0000000001,326477203.7384789
2015-02-12 00:00:00+00:00,0.0,29.2735,115.34200000000003,55300.5,758654.9,331515321.7855922
2015-02-13 00:00:00+00:00,0.0,29.490000000000002,115.99900000000002,54771.0,663571.2000000002,282071991.5823337
2015-02-14 00:00:00+00:00,0.0,29.57,116.647,82370.0,819015.6000000001,361966627.8297071
2015-02-15 00:00:00+00:00,0.0,29.57,116.647,82370.0,819015.6000000001,361966627.8297071
2015-02-16 00:00:00+00:00,0.0,29.57,116.647,82370.0,819015.6000000001,361966627.8297071
2015-02-17 00:00:00+00:00,0.0,29.765,114.54600000000002,53941.5,671697.1000000002,270485458.8009843
2015-02-18 00:00:00+00:00,0.0,29.7945,117.2925,54014.0,697000.9,284288619.4472275
2015-02-19 00:00:00+00:00,0.0,29.7775,117.34500000000001,55456.0,619997.6000000001,260055511.24979955
2015-02-20 00:00:00+00:00,0.0,29.744999999999997,117.705,57360.5,671068.5000000001,298356519.12692326
2015-02-21 00:00:00+00:00,0.0,29.744999999999997,118.23400000000001,88925.5,830388.1000000006,351909211.1326953
2015-02-22 00:00:00+00:00,0.0,29.744999999999997,118.23400000000001,88925.5,830388.1000000006,351909211.1326953
2015-02-23 00:00:00+00:00,0.0,29.66,118.46500000000002,55396.5,557587.9,274142276.9134803
2015-02-24 00:00:00+00:00,0.0,29.83,118.41900000000001,60468.0,616698.4,260280389.8679226
