,mae,mse,rmse,direction_accuracy,pearson_ic,spearman_rho,cosine_similarity,std_gap,l1_divergence,dwt_distance,kl_divergence,wasserstein
mae,1.0,0.9151183868801642,0.9151183880625352,0.32883908508486254,0.514898741097883,0.48269346629165855,0.5239959480596862,0.1526945270917926,0.7176785645538355,0.7421332754549043,0.32705460480192633,0.315799262124012
mse,0.9151183868801642,1.0,0.9999996092329588,0.332041600606921,0.5265070045377099,0.4887119542310054,0.5356566822690647,0.15091775719757072,0.709524620949216,0.7458282548923296,0.3204992600804716,0.3077441646556819
rmse,0.9151183880625352,0.9999996092329588,1.0,0.33204162128842324,0.5265070077200809,0.48871194177724964,0.5356566901783136,0.15091776501519974,0.7095246210853428,0.745828271664583,0.3204992644443449,0.30774417365568196
direction_accuracy,0.32883908508486254,0.332041600606921,0.33204162128842324,1.0,0.5619644665793612,0.4951948229375567,0.5693777803270478,0.2083660371278958,0.32121848451332685,0.294177303118988,0.11939909462987262,0.16684830075965426
pearson_ic,0.514898741097883,0.5265070045377099,0.5265070077200809,0.5619644665793612,1.0,0.7746362920616525,0.9340312725129054,0.20003700892074666,0.528771896681691,0.4490065959246914,0.2000779871650761,0.19991442914049867
spearman_rho,0.48269346629165855,0.4887119542310054,0.48871194177724964,0.4951948229375567,0.7746362920616525,1.0,0.7643962857251411,0.2014867270363177,0.4929481244444577,0.41841679768462936,0.20645330734986828,0.2041403957731623
cosine_similarity,0.5239959480596862,0.5356566822690647,0.5356566901783136,0.5693777803270478,0.9340312725129054,0.7643962857251411,1.0,0.20763404833843294,0.48904045712121047,0.4572516468709266,0.21092467322347738,0.22379351737762865
std_gap,0.1526945270917926,0.15091775719757072,0.15091776501519974,0.2083660371278958,0.20003700892074666,0.2014867270363177,0.20763404833843294,1.0,0.11062722001646566,0.1541287069199651,0.22469014830754908,0.32000001324386285
l1_divergence,0.7176785645538355,0.709524620949216,0.7095246210853428,0.32121848451332685,0.528771896681691,0.4929481244444577,0.48904045712121047,0.11062722001646566,1.0,0.6350885248079988,0.24979966454123728,0.17328676226793607
dwt_distance,0.7421332754549043,0.7458282548923296,0.745828271664583,0.294177303118988,0.4490065959246914,0.41841679768462936,0.4572516468709266,0.1541287069199651,0.6350885248079988,1.0,0.3193242409554495,0.3083275354123022
kl_divergence,0.32705460480192633,0.3204992600804716,0.3204992644443449,0.11939909462987262,0.2000779871650761,0.20645330734986828,0.21092467322347738,0.22469014830754908,0.24979966454123728,0.3193242409554495,1.0,0.4728152016435588
wasserstein,0.315799262124012,0.3077441646556819,0.30774417365568196,0.16684830075965426,0.19991442914049867,0.2041403957731623,0.22379351737762865,0.32000001324386285,0.17328676226793607,0.3083275354123022,0.4728152016435588,1.0
