,mae,mse,rmse,direction_accuracy,pearson_ic,spearman_rho,cosine_similarity,std_gap,l1_divergence,dwt_distance,kl_divergence,wasserstein
mae,1.0,0.9846522676439778,0.9848890700577765,0.3373188866861244,-0.10139438083990412,-0.08498413109904249,-0.09902462663765386,0.4769676086136605,0.7746058661264975,0.9134029284393291,0.5719338419657632,0.6731833579089596
mse,0.9846522676439778,1.0,0.998904979282665,0.29805682086769447,-0.1398592393850416,-0.11053871261784241,-0.11606263262037386,0.4787998304940388,0.7673404692184689,0.9169297189677461,0.5349886832616169,0.6609875231974545
rmse,0.9848890700577765,0.998904979282665,1.0,0.30180120596306265,-0.13961646444456427,-0.1105039278080094,-0.11628077036898592,0.45926027790437807,0.771221803285429,0.9187584314324817,0.5309870697126945,0.6527262732791742
direction_accuracy,0.3373188866861244,0.29805682086769447,0.30180120596306265,1.0,0.1574445189210813,0.13579333455303702,0.2464524039154022,0.12816255210061428,0.25815696546389827,0.28458299210479987,0.37352015597852106,0.23444513808377526
pearson_ic,-0.10139438083990414,-0.1398592393850416,-0.13961646444456427,0.1574445189210813,1.0,0.8069398170456613,0.7740782459174288,5.8187858391964134e-11,-0.1128177999729243,-0.11001600755263355,-3.1586264312395633e-12,1.965505543403331e-10
spearman_rho,-0.08498413109904249,-0.11053871261784241,-0.1105039278080094,0.13579333455303702,0.8069398170456613,1.0,0.6428193752508432,0.0020894014260738787,-0.09673123514254856,-0.08889018602995503,0.00336594227385783,0.00409555023123178
cosine_similarity,-0.09902462663765385,-0.11606263262037388,-0.11628077036898592,0.2464524039154022,0.7740782459174288,0.6428193752508432,1.0,-0.004322648121207564,-0.09580517586523712,-0.10366897669000869,-0.011065847857875172,-0.01870746981420036
std_gap,0.4769676086136605,0.47879983049403874,0.45926027790437796,0.12816255210061428,5.818785839196414e-11,0.0020894014260738787,-0.004322648121207564,1.0,0.4885539813968031,0.42077925128671356,0.36648045695290055,0.3358201762133392
l1_divergence,0.7746058661264975,0.767340469218469,0.771221803285429,0.25815696546389827,-0.1128177999729243,-0.09673123514254857,-0.09580517586523712,0.4885539813968031,1.0,0.7140037905609453,0.3760203722906722,0.0898307048340499
dwt_distance,0.9134029284393291,0.9169297189677461,0.9187584314324817,0.28458299210479987,-0.11001600755263356,-0.08889018602995503,-0.1036689766900087,0.42077925128671356,0.7140037905609453,1.0,0.4951973198651159,0.6092250693759605
kl_divergence,0.5719338419657632,0.5349886832616169,0.5309870697126945,0.37352015597852106,-3.1586264312395633e-12,0.0033659422738578303,-0.01106584785787517,0.36648045695290055,0.3760203722906722,0.4951973198651159,1.0,0.5424112858870717
wasserstein,0.6731833579089596,0.6609875231974545,0.6527262732791742,0.23444513808377526,1.9655055434033308e-10,0.004095550231231781,-0.018707469814200364,0.3358201762133392,0.0898307048340499,0.6092250693759605,0.5424112858870717,1.0
