metric_label,mean_zero_percentile
MAE,0.9999999672373402
DWT Distance,0.9999998295382065
L1 Divergence,0.999999725024561
MSE,0.9999901141427046
RMSE,0.9999901141427046
Spearman,0.6964066321357912
Pearson / IC,0.5000003215593619
Cosine Similarity,0.47528635290113097
Wasserstein,0.27297483912191967
KL Divergence,0.07135273644614315
Direction Accuracy,0.01947147600274253
Std Gap,0.0043338854313059874
