epsilon_index,Cosine Similarity,DWT Distance,Direction Accuracy,KL Divergence,L1 Divergence,MAE,MSE,Pearson / IC,RMSE,Spearman,Std Gap,Wasserstein
0,0.47528635290113097,0.9999998295382065,0.01947147600274253,0.07135273644614315,0.999999725024561,0.9999999672373402,0.9999901141427046,0.5000003215593619,0.9999901141427046,0.6964066321357912,0.0043338854313059874,0.27297483912191967
1,0.4752863257288762,0.9995360439645786,0.052993693731464085,0.48671204478489216,0.9990236068234676,0.9998228693852497,0.9997868319493283,0.5000001274528855,0.9997878669850736,0.5143455129761384,0.021711743436404498,0.5586943808767986
2,0.47528629526180727,0.9893805555883812,0.182658530374488,0.6943862695559851,0.981039382948572,0.9929043063514885,0.9933626858773422,0.5000000153022464,0.9934547969894854,0.5043135957352153,0.12252714128089963,0.7175950714489717
3,0.47528629309793463,0.9290752830079707,0.3222213416651093,0.663987119105727,0.8987737492967199,0.9339638726847594,0.9403907134411944,0.4999999884931711,0.9417735059045368,0.5019729397568214,0.3460249725057899,0.7017086845036382
4,0.4813171765073985,0.6819642431538411,0.46729845956636,0.5545783496782402,0.6384644737240603,0.6726334180125491,0.6822120340262569,0.4999999983245645,0.6906908120631432,0.5002379924705082,0.46056628483173817,0.5308310199453219
