metric_label,mean_zero_percentile
RMSE,0.9964946998953559
MSE,0.996494696940905
DWT Distance,0.9962214993281523
MAE,0.9959834248729308
L1 Divergence,0.9872416665311967
Cosine Similarity,0.5007249250439978
Pearson / IC,0.5000003287048497
Spearman,0.21350204717944113
Wasserstein,0.12352237537932864
KL Divergence,0.05792906350726956
Direction Accuracy,0.02130300850564367
Std Gap,0.003617250642277518
