epsilon_index,Cosine Similarity,DWT Distance,Direction Accuracy,KL Divergence,L1 Divergence,MAE,MSE,Pearson / IC,RMSE,Spearman,Std Gap,Wasserstein
0,0.5007249250439978,0.9962214993281523,0.02130300850564367,0.05792906350726956,0.9872416665311967,0.9959834248729308,0.996494696940905,0.5000003287048497,0.9964946998953559,0.21350204717944113,0.003617250642277518,0.12352237537932864
1,0.5007249004567279,0.9904599379144265,0.11261238320889237,0.21707420613007536,0.9754075855909582,0.9904398938661548,0.9910766737733693,0.5000001721280246,0.9912566997808191,0.4731505784102386,0.01059914517407283,0.2715844325125861
2,0.5007248719092403,0.9628005737432035,0.28790756786258503,0.5056959627599887,0.9322606104961629,0.9640357680506374,0.9645279152580217,0.5000000519111626,0.9657972001022185,0.4931531085315493,0.039818529253297576,0.42950293648778715
3,0.5007248656452107,0.8817095096673693,0.3832787941038595,0.5779211647255719,0.8340670963112157,0.8816482518131278,0.8823848984310375,0.5000000214914365,0.8870308924533692,0.5002885834534804,0.13041295643770232,0.5090157621005373
4,0.5007248661244287,0.6419884962539294,0.47082377136354114,0.5534831516307429,0.5934636822561683,0.630436157274472,0.6292678813065403,0.5000000076728641,0.6424199537144716,0.5061584243665431,0.30944611738131683,0.4814602000024873
5,0.5000000256579059,0.5095780877241408,0.479454543025597,0.5075795763274208,0.4899720949746887,0.4930774713271619,0.4793752943068716,0.5000002138158827,0.5034692311162047,0.5046775132213907,0.4295383357594594,0.4554603299439068
