experiment,target_space,conversion,windows,tickers,n_predictions,mae,rmse,direction_accuracy,nonzero_direction_accuracy,flatten_pearson,cross_section_pearson,cross_section_pearson_std,cross_section_pearson_positive_rate,pred_mean,true_mean,pred_std,true_std,pred_abs_mean,true_abs_mean,pred_true_std_ratio,pred_true_abs_mean_ratio,pred_near_zero_1e_4,true_near_zero_1e_4
close_logret_x1,close_log_return_unscaled,"pred, true",5757,1000,5757000,0.005677981878583063,0.017136065023808798,0.33417213826645825,0.49157172981422276,-0.030273631951789115,-0.03434691390696408,0.11992714268246218,0.35675951955021723,-5.998181723487285e-05,-2.836349376895368e-05,0.0025604521473776547,0.016866328885566544,0.001053177708708783,0.005382841737822811,0.15180850348345667,0.19565459287212114,0.23109084592669793,0.37921313183949973
close_logret_x100,close_log_return_unscaled,"pred/100, true/100",5757,1000,5757000,0.005677981898205669,0.017136064248807006,0.3341719645648775,0.4915711742353638,-0.030273249665148074,-0.034346764983178214,0.11992667560911599,0.35675951955021723,-5.998174462797783e-05,-2.8363493807621888e-05,0.0025604532201474136,0.016866328881818705,0.0010531777141432213,0.005382841739021424,0.15180856712141372,0.19565459383813952,0.2310889352093104,0.37921313183949973
close_logret_x500,close_log_return_unscaled,"pred/500, true/500",5757,1000,5757000,0.005677981834926854,0.017136069593252853,0.3341724856696196,0.4915720076036523,-0.030275387127650884,-0.034347114170975086,0.11992783632097499,0.35675951955021723,-5.998180737488463e-05,-2.8363493733219615e-05,0.0025604529279755826,0.016866328891899582,0.0010531777658793172,0.005382841738032315,0.1518085497078914,0.19565460348538943,0.23108963001563315,0.37921313183949973
volume_logret,volume_log_return,native diff(log1p(volume)),5757,1000,5757000,0.3842093837433843,0.6967928006158044,0.4353911759597012,0.6277193879992099,0.24223973904025806,0.15515726323455997,0.1224637045998611,0.9146434960388449,-0.0019325169655823214,0.005018771730940437,0.16597275988427618,0.7181000184247003,0.10382850839642141,0.3863652630222257,0.23112763629831326,0.2687314785606093,0.030469515372589892,0.35024057668924785
raw_volume,volume_log_return_from_raw_volume,log1p(pred_raw_volume)-inferred_log1p(last_context_volume),5757,1000,5757000,0.3600847248402754,0.6305505556590961,0.4869402466562446,0.706480770932181,0.49398356639899577,0.5168483825133505,0.08895480006412639,0.9989777664196269,0.01726706262887838,0.005018771730940437,0.4419617182552078,0.7181000184247003,0.23867926736067263,0.3863652630222257,0.6154598341673093,0.6177555028981542,0.029639569220079903,0.35024057668924785
