experiment,mode,target_space,mae,rmse,direction_accuracy,nonzero_direction_accuracy,flatten_pearson,cross_section_pearson,pred_abs_mean,true_abs_mean,pred_true_abs_mean_ratio
close_logret_x1,zero_shot,close_log_return_unscaled,0.005677981878583063,0.017136065023808798,0.33417213826645825,0.49157172981422276,-0.030273631951789115,-0.03434691390696408,0.001053177708708783,0.005382841737822811,0.19565459287212114
close_logret_x1,full_finetune,close_log_return_unscaled,0.00552419210225857,0.016814683360488584,0.3484533611255862,0.5144107433395123,0.08089876365394362,0.10799263721453851,0.0007720549630603751,0.005382841737822811,0.14342888025770695
volume_logret,zero_shot,volume_log_return,0.3842093837433843,0.6967928006158044,0.4353911759597012,0.6277193879992099,0.24223973904025806,0.15515726323455997,0.10382850839642141,0.3863652630222257,0.2687314785606093
volume_logret,full_finetune,volume_log_return,0.3152868004570882,0.583006784363343,0.5117870418620809,0.7452770300304418,0.5849464571126775,0.5475289093137911,0.25354610878308004,0.3863652630222257,0.6562342245775206
raw_volume,zero_shot,volume_log_return_from_raw_volume,0.3600847248402754,0.6305505556590961,0.4869402466562446,0.706480770932181,0.49398356639899577,0.5168483825133505,0.23867926736067263,0.3863652630222257,0.6177555028981542
raw_volume,full_finetune,volume_log_return_from_raw_volume,0.31780152304629267,0.584515978311158,0.5151782178217822,0.7492390885688344,0.5854456883206735,0.568484789197178,0.27284956906018215,0.38636526421522366,0.7061959092373068
