,mae,mse,rmse,direction_accuracy,pearson_ic,spearman_rho,cosine_similarity,std_gap,l1_divergence,dwt_distance,kl_divergence,wasserstein
mae,1.0,0.9834897710940415,0.9833201076668885,-0.22046207068141108,-0.5849366179393778,-0.5381172738455572,-0.5910896946363535,-0.0712720622887524,0.8610877910254131,0.8962742770084445,0.3611178855395388,0.3855928556587606
mse,0.9834897710940415,1.0,0.9978703825709766,-0.22995604071697986,-0.5996093129993604,-0.5484850815063289,-0.6048242242310018,-0.07150970209108243,0.8513334871602031,0.8926794485722874,0.3422150555331932,0.37784513487518495
rmse,0.9833201076668885,0.9978703825709766,1.0,-0.23021159835966595,-0.6038318146918288,-0.5528543972522767,-0.6096477363791961,-0.08831158662500037,0.851826775736082,0.8955121106240456,0.3377844340778329,0.37346940709148163
direction_accuracy,-0.22046207068141108,-0.22995604071697986,-0.23021159835966595,1.0,0.648936377450518,0.5681059121593995,0.6566097243072274,-0.0624947286198062,-0.2640384581656172,-0.1642170705483925,0.19705320393091558,0.11100418926316831
pearson_ic,-0.5849366179393777,-0.5996093129993604,-0.6038318146918288,0.648936377450518,1.0,0.8928769495023365,0.9917358562502089,-1.4239525641375721e-11,-0.6044777640671679,-0.49663007933789144,1.1533775163119049e-10,2.363410233404735e-10
spearman_rho,-0.5381172738455572,-0.5484850815063289,-0.5528543972522767,0.5681059121593995,0.8928769495023365,1.0,0.8869040118556077,-0.008298109426890498,-0.5599995483410022,-0.45150856326396716,-0.01889663685950767,-0.011286094634272437
cosine_similarity,-0.5910896946363535,-0.6048242242310019,-0.6096477363791961,0.6566097243072274,0.9917358562502089,0.8869040118556077,1.0,0.00011932170269060827,-0.6065567012119835,-0.5018188817737287,-0.0004179211094995418,-0.0025252909410177393
std_gap,-0.0712720622887524,-0.07150970209108243,-0.08831158662500034,-0.0624947286198062,-1.4239525641375721e-11,-0.008298109426890498,0.00011932170269060827,1.0,-0.17505001020415062,-0.08411006341518705,0.14866541149631277,0.36657590935244544
l1_divergence,0.8610877910254131,0.8513334871602031,0.851826775736082,-0.2640384581656172,-0.6044777640671679,-0.5599995483410022,-0.6065567012119835,-0.17505001020415062,1.0,0.7516076197984088,0.20468949040447762,-0.08896732593375342
dwt_distance,0.8962742770084445,0.8926794485722874,0.8955121106240458,-0.1642170705483925,-0.49663007933789144,-0.45150856326396716,-0.5018188817737287,-0.08411006341518705,0.7516076197984088,1.0,0.3311466248110794,0.38369498416007003
kl_divergence,0.3611178855395388,0.3422150555331932,0.3377844340778329,0.19705320393091558,1.1533775163119049e-10,-0.018896636859507675,-0.0004179211094995418,0.14866541149631277,0.20468949040447762,0.3311466248110794,1.0,0.47200635740874936
wasserstein,0.3855928556587606,0.37784513487518495,0.37346940709148163,0.11100418926316831,2.363410233404735e-10,-0.011286094634272437,-0.0025252909410177393,0.36657590935244544,-0.08896732593375344,0.38369498416007003,0.47200635740874936,1.0
