epsilon_index,Cosine Similarity,DWT Distance,Direction Accuracy,KL Divergence,L1 Divergence,MAE,MSE,Pearson / IC,RMSE,Spearman,Std Gap,Wasserstein
0,0.5010442266195854,0.9949940347667191,0.0026390642391707687,0.06840037112125132,0.9845800725629854,0.9948168338251242,0.995737033201238,0.5000003083370976,0.9957370372919896,0.2134229383099583,0.010443013848242115,0.12481025120008603
1,0.5010442045288338,0.9886174747532533,0.10461329227797397,0.21676921343301664,0.9721630894832778,0.9886696891240819,0.9898772713620508,0.5000001917943208,0.99009334075801,0.4727533550701828,0.017365437254646333,0.2736103831741968
2,0.5010441807434209,0.9603475074012511,0.28469483173748356,0.5071236730072237,0.9290938969469156,0.9617129504216897,0.9629904035833483,0.5000000639299592,0.9644059623994394,0.4932235271332602,0.04318079914898556,0.4319160617564984
3,0.501044173256579,0.8824670688376897,0.380517058024477,0.5834679783087275,0.8348490422847016,0.8827294803373615,0.8842655459605112,0.5000000718392077,0.8892338085668975,0.5005009043609193,0.12128790203701423,0.5149750019596377
4,0.501044182743421,0.652591257441497,0.46993833306487054,0.5572377117701622,0.60157210192573,0.6405182240442443,0.6403516395747411,0.4999999927960534,0.6540838528848835,0.5061295277800822,0.3072771949222117,0.4893458328275362
5,0.5000000256579059,0.5150147243024654,0.4675984523356417,0.5131581182307068,0.4964626728015062,0.4996723741994156,0.4840566647667843,0.5000001796053414,0.5079766580793077,0.503788466781556,0.4772566525946737,0.4838378028293588
