epsilon_index,Cosine Similarity,DWT Distance,Direction Accuracy,KL Divergence,L1 Divergence,MAE,MSE,Pearson / IC,RMSE,Spearman,Std Gap,Wasserstein
0,0.47276468885871664,0.99999989,0.0007095847306131391,0.0758041134922131,0.9999996974658862,0.999999987,0.9999968184606884,0.5000003183560758,0.9999968184606884,0.6466150433203495,0.00045853671213256733,0.26498829757343695
1,0.4727646685864619,0.9995341984691621,0.039722414231511426,0.4804736324917245,0.999014847020496,0.9998221497525885,0.9997924052351448,0.5000001251763053,0.9997935036629135,0.5116980284783448,0.0136128144743702,0.5508952578863873
2,0.47276462795120083,0.9893159072991545,0.17536737776634911,0.6907331296913274,0.9808951693401587,0.9928469166299887,0.9932906442939042,0.500000000546242,0.9933838305251492,0.5049610216756875,0.11161006853731145,0.7115860800408546
3,0.47276463867721347,0.925139000601045,0.32292721337915153,0.6624939094388703,0.8936159508455819,0.9301133973610398,0.9365672494716551,0.5000000441797705,0.9380422248137679,0.5030535057400715,0.3454281627261506,0.6963204166628479
4,0.4793582828235468,0.6825601013504593,0.4658842288221886,0.55697529877794,0.6394114976367771,0.6738807643496718,0.6832958348667533,0.5000000304803756,0.6917411313411351,0.5013466394537949,0.45953356003832235,0.5300196641772474
