,mae,mse,rmse,direction_accuracy,pearson_ic,spearman_rho,cosine_similarity,std_gap,l1_divergence,dwt_distance,kl_divergence,wasserstein
mae,1.0,0.9084455656742567,0.9084455393129894,0.12203276010278132,0.2419673312163363,0.2368345618211488,0.24715853335089907,0.35567173216940523,0.6569816845458472,0.7524983730959007,0.4294590870532849,0.5485352090187163
mse,0.9084455656742567,1.0,0.9999996127312214,0.13176777933697054,0.25410242545851214,0.2455575182854272,0.25255004522002017,0.35324499946818605,0.6549032044607326,0.7645102305237228,0.41789834834237927,0.5336282122720192
rmse,0.9084455393129894,0.9999996127312214,1.0,0.13176778979072626,0.2541024513660236,0.2455575446466944,0.2525500302200202,0.3532449899219418,0.6549032208219997,0.7645101755237228,0.41789830334237943,0.5336282172720194
direction_accuracy,0.12203276010278132,0.13176777933697054,0.13176778979072626,1.0,0.36428103600647704,0.34115830916112794,0.4321009896378819,0.1700082721022189,0.15885716009845346,0.13386482457327767,0.037494083865088006,0.10447200390530362
pearson_ic,0.2419673312163363,0.25410242545851214,0.2541024513660236,0.36428103600647704,1.0,0.6954153745593952,0.668499053243215,0.20026463899470415,0.24466987789715383,0.24038411121373332,0.2001759642500789,0.20025677036523334
spearman_rho,0.2368345618211488,0.2455575182854272,0.2455575446466944,0.34115830916112794,0.6954153745593952,1.0,0.5628041382649901,0.20010613849285064,0.2399557560066862,0.23265781691541026,0.19823936754968152,0.19915422817342573
cosine_similarity,0.24715853335089907,0.25255004522002017,0.2525500302200202,0.4321009896378819,0.668499053243215,0.5628041382649901,1.0,0.21190853968669046,0.28204446103449315,0.24272135309177142,0.1985356642803739,0.18475247374369896
std_gap,0.35567173216940523,0.35324499946818605,0.3532449899219418,0.1700082721022189,0.20026463899470415,0.20010613849285064,0.21190853968669046,1.0,0.19956328965612372,0.31653208660264437,0.30162163327843367,0.3644148399256006
l1_divergence,0.6569816845458472,0.6549032044607326,0.6549032208219997,0.15885716009845346,0.24466987789715383,0.2399557560066862,0.28204446103449315,0.19956328965612372,1.0,0.6136973781263942,0.3209655815979193,0.287305608970765
dwt_distance,0.7524983730959007,0.7645102305237228,0.7645101755237228,0.13386482457327767,0.24038411121373332,0.23265781691541026,0.24272135309177142,0.31653208660264437,0.6136973781263942,1.0,0.4051768735434782,0.5062237555313122
kl_divergence,0.4294590870532849,0.41789834834237927,0.41789830334237943,0.037494083865088006,0.2001759642500789,0.19823936754968152,0.1985356642803739,0.30162163327843367,0.3209655815979193,0.4051768735434782,1.0,0.5055805675407017
wasserstein,0.5485352090187163,0.5336282122720192,0.5336282172720194,0.10447200390530362,0.20025677036523334,0.19915422817342573,0.18475247374369896,0.3644148399256006,0.287305608970765,0.5062237555313122,0.5055805675407017,1.0
