metric_label,mean_zero_percentile
RMSE,0.9957370372919896
MSE,0.995737033201238
DWT Distance,0.9949940347667191
MAE,0.9948168338251242
L1 Divergence,0.9845800725629854
Cosine Similarity,0.5010442266195854
Pearson / IC,0.5000003083370976
Spearman,0.2134229383099583
Wasserstein,0.12481025120008603
KL Divergence,0.06840037112125132
Std Gap,0.010443013848242115
Direction Accuracy,0.0026390642391707687
